crop,production,area,yield_val,year
Sugarcane,144.3,135.2,106.7,2010-11
Sunflower,161.3,175.0,92.2,2006-07
Sunflower,192.3,154.5,124.5,2007-08
Sunflower,152.2,146.5,103.9,2008-09
Sunflower,111.8,119.3,93.7,2009-10
Sunflower,85.6,75.1,114.0,2010-11
Sweet potato  ,81.1,75.8,106.9,2006-07
Sweet potato  ,79.3,75.4,105.2,2007-08
Sweet potato  ,94.2,88.4,106.6,2008-09
Sweet potato  ,92.1,84.6,108.8,2009-10
Sweet potato  ,88.1,80.4,109.6,2010-11
Tapioca,146.4,105.1,139.2,2006-07
Tapioca,151.5,103.9,145.7,2007-08
Tapioca,167.1,114.8,145.6,2008-09
Tapioca,140.0,95.1,147.1,2009-10
Tapioca,140.3,90.6,154.8,2010-11
Tea ,132.2,135.3,97.7,2006-07
Tea ,132.8,137.8,96.3,2007-08
Tea ,132.0,137.8,95.8,2008-09
Tea ,132.0,137.8,95.8,2009-10
Tea ,132.0,137.8,95.8,2010-11
Tobacco,88.1,88.8,99.1,2006-07
Tobacco,83.6,83.9,88.3,2007-08
Tobacco,96.4,94.2,102.4,2008-09
Tobacco,105.3,107.1,109.6,2009-10
Tobacco,140.9,118.8,118.6,2010-11
Total Fibers,186.1,118.3,157.3,2006-07
Total Fibers,203.5,121.7,167.2,2007-08
Total Fibers,179.1,120.9,148.2,2008-09
Total Fibers,196.6,129.4,152.0,2009-10
Total Fibers,239.3,141.9,168.6,2010-11
Total Foodgrains,158.8,128.5,123.6,2006-07
Total Foodgrains,168.6,128.8,130.9,2007-08
Total Foodgrains,171.3,127.6,134.3,2008-09
Total Foodgrains,159.4,126.0,126.5,2009-10
Total Foodgrains,178.9,131.7,135.9,2010-11
Total Fruits & Vegetables,162.6,139.3,116.7,2006-07
Total Fruits & Vegetables,184.9,145.0,127.5,2007-08
Total Fruits & Vegetables,241.9,173.8,139.2,2008-09
Total Fruits & Vegetables,240.3,170.9,140.6,2009-10
Total Fruits & Vegetables,274.5,188.3,145.7,2010-11
Total Non-Food grains ,155.4,126.6,122.8,2006-07
Total Non-Food grains ,156.8,128.6,122.0,2007-08
Total Non-Food grains ,141.2,131.5,107.4,2008-09
Total Non-Food grains ,143.2,126.7,113.1,2009-10
Total Non-Food grains ,168.4,136.5,123.4,2010-11
Total Oilseeds,148.2,124.8,118.7,2006-07
Total Oilseeds,150.9,126.2,119.6,2007-08
Total Oilseeds,140.8,129.0,109.1,2008-09
Total Oilseeds,135.9,126.1,107.8,2009-10
Total Oilseeds,169.0,134.0,126.1,2010-11
Total Pulses,130.3,122.1,106.7,2006-07
Total Pulses,135.4,124.4,108.8,2007-08
Total Pulses,133.7,116.3,114.9,2008-09
Total Pulses,134.5,122.6,109.7,2009-10
Total Pulses,167.4,139.0,120.4,2010-11
Total Spices,1427.7,121.3,1176.6,2006-07
Total Spices,1571.5,125.9,1247.7,2007-08
Total Spices,1463.0,126.5,1156.8,2008-09
Total Spices,1430.3,122.0,1172.1,2009-10
Total Spices,1790.6,136.6,1310.8,2010-11
Turmeric ,158.6,134.3,118.1,2006-07
Turmeric ,160.1,131.9,121.4,2007-08
Turmeric ,165.5,136.2,121.5,2008-09
Turmeric ,159.8,136.2,117.4,2009-10
Turmeric ,200.2,146.7,136.4,2010-11
Wheat,131.6,115.0,114.4,2006-07
Wheat,136.4,115.2,118.4,2007-08
Wheat,140.1,114.0,122.8,2008-09
Wheat,140.3,116.9,120.0,2009-10
Wheat,150.8,119.5,126.3,2010-11
